SMILES,label_0,label_1,label_2,label_3,label_4
NC(=O)Cc1ccccc1,0.95,1.55,0.45,0.81,1.1137
OC(=O)Cc1ccccc1,0.73,1.08,0.66,0.57,1.0726
CN(Cc1ccccc1)C,0.67,0.78,0.0,0.7,1.2389
CC(=O)Nc1ccccc1,0.9,1.37,0.48,0.67,1.1137
NC(=S)Nc1ccccc1,1.25,1.69,0.48,0.79,1.1774
CC(=O)Nc1ccc(cc1)Br,1.14,1.65,0.64,0.47,1.2887
CCOC(=O)C1=C(C)NC(=C(C1c1ccccc1/C=C/C(=O)OC(C)(C)C)C(=O)OCC)C,1.65,2.34,0.32,1.8,3.6198
CC(=O)Nc1ccc(cc1)C,0.87,1.11,0.56,0.73,1.2546
CC(=O)Nc1ccc(cc1)O,1.06,1.63,1.04,0.86,1.1724
COc1ccc(cc1)CC(=O)O,0.88,1.33,0.59,0.76,1.2722
CC(=O)Nc1ccc(cc1)N(=O)=O,1.13,2.0,0.66,0.47,1.2879
C1CCN(CC1)Cc1cccc(c1)OCCCNc1nc2c(s1)cccc2,2.69,2.89,0.13,1.38,2.9946
CCCCc1ccc(cc1)N,0.91,0.89,0.23,0.46,1.3798
OC(CN1CCC(CC1)N(c1nc2c(s1)cccc2)C)COc1ccc(cc1)F,2.79,1.8,0.16,1.95,3.071
Cc1ccc(cc1)S(=O)(=O)O,0.87,2.29,0.31,0.97,1.1969
O=C1CCCC(=O)C1C(=O)c1ccc(cc1N(=O)=O)S(=O)(=O)C,1.82,3.15,0.0,1.8,2.2372
CC(=O)OCC(CCn1cnc2c1nc(N)nc2)COC(=O)C,1.89,3.0,0.55,1.82,2.3398
CCCCCCCCCc1ccc(cc1)O,0.77,0.88,0.55,0.36,2.0432
CCCCCCCCCCCCc1ccc(cc1)N,0.87,0.94,0.23,0.46,2.507
CCCc1ccc(cc1)OC,0.73,0.8,0.0,0.33,1.3387
C/C=C/c1ccc(cc1)OC,1.05,0.77,0.0,0.44,1.2957
CCCCC1CCC(=O)O1,0.32,1.43,0.0,0.59,1.2016
CCCCc1ccccc1,0.6,0.51,0.0,0.15,1.28
ClCCCc1ccccc1,0.79,0.9,0.0,0.24,1.2615
OC/C=C/c1ccccc1,1.09,1.04,0.38,0.6,1.1548
O=CC=Cc1ccccc1,0.97,1.3,0.0,0.52,1.1118
CC(=O)O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,1.45,2.21,0.0,1.28,2.6802
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Br,2.07,1.5,0.4,1.8,2.8506
CCCCCC1CCC(=O)O1,0.31,1.43,0.0,0.59,1.3425
CCCCCCCC1CCC(=O)O1,0.29,1.44,0.0,0.59,1.6243
CCCCCCCCCCc1ccccc1,0.58,0.47,0.0,0.15,2.1254
CCCCC(CO)CC,0.21,0.39,0.37,0.48,1.2945
ClCc1ccc(cc1)C,0.83,0.85,0.0,0.2,1.1206
ClCc1ccc(cc1)Cl,0.92,0.97,0.0,0.15,1.1021
N#Cc1ccc(cc1)C,0.74,1.1,0.0,0.34,1.012
CCCCCCCCCCCCC=O,0.11,0.65,0.0,0.45,1.956
O=Cc1ccc(cc1)C,0.86,1.0,0.0,0.42,1.0139
O=Cc1ccc(cc1)Cl,0.93,1.08,0.0,0.36,0.9954
CCc1ccc(nc1)C,0.63,0.71,0.0,0.57,1.098
COc1ccc(cc1)Br,0.98,0.91,0.0,0.23,1.091
COc1ccc(cc1)C,0.7,0.77,0.0,0.3,1.0569
COc1ccc(cc1)N,1.05,1.19,0.23,0.61,1.0158
CCC(OC(=O)C)C=C,0.16,0.56,0.0,0.49,1.1263
CCc1ccc(cc1)CC,0.65,0.5,0.0,0.18,1.28
C=Cc1ccc(cc1)C=C,1.08,0.75,0.0,0.22,1.194
O=Cc1ccc(cc1)C#N,0.95,1.53,0.0,0.5,1.0277
OCc1ccc(cc1)OC,0.9,1.09,0.4,0.76,1.1156
Fc1cccc2c1OC1CNCC1O2,1.21,1.52,0.32,0.75,1.2977
C#CC1(O)CCC2C1(C)CCC1C2C(C)CC2=CC(=O)CCC12O,1.87,3.35,0.8,1.73,2.6372
CCCC1CCC(=O)O1,0.33,1.44,0.0,0.59,1.0607
OCCCCCc1ccccc1,0.8,0.9,0.33,0.72,1.4796
CCCC(CO)C,0.21,0.39,0.31,0.56,1.0127
